Step,muon (0.03) - val/loss,muon (0.03) - val/loss__MIN,muon (0.03) - val/loss__MAX,dion_4 (0.02) - val/loss,dion_4 (0.02) - val/loss__MIN,dion_4 (0.02) - val/loss__MAX,dion_2 (0.03) - val/loss,dion_2 (0.03) - val/loss__MIN,dion_2 (0.03) - val/loss__MAX,adam (0.002) - val/loss,adam (0.002) - val/loss__MIN,adam (0.002) - val/loss__MAX,dion_1 (0.03) - val/loss,dion_1 (0.03) - val/loss__MIN,dion_1 (0.03) - val/loss__MAX,demo (0.001) - val/loss,demo (0.001) - val/loss__MIN,demo (0.001) - val/loss__MAX,dion_8 (0.02) - val/loss,dion_8 (0.02) - val/loss__MIN,dion_8 (0.02) - val/loss__MAX,dion_16 (0.01) - val/loss,dion_16 (0.01) - val/loss__MIN,dion_16 (0.01) - val/loss__MAX
0,15.971876525878908,15.971876525878908,15.971876525878908,16.020077514648438,16.020077514648438,16.020077514648438,16.013645935058594,16.013645935058594,16.013645935058594,15.992373657226562,15.992373657226562,15.992373657226562,15.988517761230469,15.988517761230469,15.988517761230469,16.01146697998047,16.01146697998047,16.01146697998047,16.01996612548828,16.01996612548828,16.01996612548828,15.98877410888672,15.98877410888672,15.98877410888672
50,5.8296875,5.8296875,5.8296875,5.8798667907714846,5.8798667907714846,5.8798667907714846,5.721651458740235,5.721651458740235,5.721651458740235,6.724260711669922,6.724260711669922,6.724260711669922,5.555106735229492,5.555106735229492,5.555106735229492,7.067240142822266,7.067240142822266,7.067240142822266,6.062916564941406,6.062916564941406,6.062916564941406,6.269938278198242,6.269938278198242,6.269938278198242
100,5.053575516,5.053575516,5.053575516,5.132833862304688,5.132833862304688,5.132833862304688,4.892618560791016,4.892618560791016,4.892618560791016,6.029266738891602,6.029266738891602,6.029266738891602,4.714575958251953,4.714575958251953,4.714575958251953,6.438311767578125,6.438311767578125,6.438311767578125,5.35474968,5.35474968,5.35474968,5.622381973266601,5.622381973266601,5.622381973266601
150,4.575854492,4.575854492,4.575854492,4.692520523071289,4.692520523071289,4.692520523071289,4.361813354492187,4.361813354492187,4.361813354492187,5.453868865966797,5.453868865966797,5.453868865966797,4.205680084228516,4.205680084228516,4.205680084228516,6.010365295410156,6.010365295410156,6.010365295410156,4.943287277,4.943287277,4.943287277,5.213818740844727,5.213818740844727,5.213818740844727
200,4.192444992,4.192444992,4.192444992,4.318258666992188,4.318258666992188,4.318258666992188,4.071780776977539,4.071780776977539,4.071780776977539,5.0672462463378904,5.0672462463378904,5.0672462463378904,3.941368103027344,3.941368103027344,3.941368103027344,5.632783126831055,5.632783126831055,5.632783126831055,4.593412399291992,4.593412399291992,4.593412399291992,4.9333850860595705,4.9333850860595705,4.9333850860595705
250,3.955141067504883,3.955141067504883,3.955141067504883,4.112400054931641,4.112400054931641,4.112400054931641,3.899377441,3.899377441,3.899377441,4.757516860961914,4.757516860961914,4.757516860961914,3.782730865478515,3.782730865478515,3.782730865478515,5.376684188842773,5.376684188842773,5.376684188842773,4.359357452392578,4.359357452392578,4.359357452392578,4.679739761352539,4.679739761352539,4.679739761352539
300,3.8102745056152343,3.8102745056152343,3.8102745056152343,3.967341613769531,3.967341613769531,3.967341613769531,3.771879959106445,3.771879959106445,3.771879959106445,4.482589340209961,4.482589340209961,4.482589340209961,3.6751537322998047,3.6751537322998047,3.6751537322998047,5.164354324,5.164354324,5.164354324,4.198663330078125,4.198663330078125,4.198663330078125,4.479563522338867,4.479563522338867,4.479563522338867
350,3.709169006347656,3.709169006347656,3.709169006347656,3.861343002319336,3.861343002319336,3.861343002319336,3.689591979980469,3.689591979980469,3.689591979980469,4.264632797241211,4.264632797241211,4.264632797241211,3.6012832641601564,3.6012832641601564,3.6012832641601564,4.980464935302734,4.980464935302734,4.980464935302734,4.085859680175782,4.085859680175782,4.085859680175782,4.345821762084961,4.345821762084961,4.345821762084961
400,3.636585235595703,3.636585235595703,3.636585235595703,3.7819087982177737,3.7819087982177737,3.7819087982177737,3.6184364318847657,3.6184364318847657,3.6184364318847657,4.123962783813477,4.123962783813477,4.123962783813477,3.545719528198242,3.545719528198242,3.545719528198242,4.8297882080078125,4.8297882080078125,4.8297882080078125,3.9957607269287103,3.9957607269287103,3.9957607269287103,4.247204208374024,4.247204208374024,4.247204208374024
450,3.583337783813477,3.583337783813477,3.583337783813477,3.718940353393555,3.718940353393555,3.718940353393555,3.566994476318359,3.566994476318359,3.566994476318359,4.0317222595214846,4.0317222595214846,4.0317222595214846,3.4966148376464843,3.4966148376464843,3.4966148376464843,4.685062026977539,4.685062026977539,4.685062026977539,3.919783782958985,3.919783782958985,3.919783782958985,4.166594696044922,4.166594696044922,4.166594696044922
500,3.535710144042969,3.535710144042969,3.535710144042969,3.661166000366211,3.661166000366211,3.661166000366211,3.522053909301758,3.522053909301758,3.522053909301758,3.9765411376953126,3.9765411376953126,3.9765411376953126,3.4663909912109374,3.4663909912109374,3.4663909912109374,4.578627395629883,4.578627395629883,4.578627395629883,3.8597557067871096,3.8597557067871096,3.8597557067871096,4.097434997558594,4.097434997558594,4.097434997558594
550,3.4987640380859375,3.4987640380859375,3.4987640380859375,3.618998718261719,3.618998718261719,3.618998718261719,3.4881061553955077,3.4881061553955077,3.4881061553955077,3.877592849731445,3.877592849731445,3.877592849731445,3.4331878662109374,3.4331878662109374,3.4331878662109374,4.446498870849609,4.446498870849609,4.446498870849609,3.8107746124267576,3.8107746124267576,3.8107746124267576,4.038835144042968,4.038835144042968,4.038835144042968
600,3.4676979064941404,3.4676979064941404,3.4676979064941404,3.5782752990722657,3.5782752990722657,3.5782752990722657,3.456093597412109,3.456093597412109,3.456093597412109,3.8274208068847657,3.8274208068847657,3.8274208068847657,3.407019043,3.407019043,3.407019043,4.347779083251953,4.347779083251953,4.347779083251953,3.7625919342041017,3.7625919342041017,3.7625919342041017,3.988993835449219,3.988993835449219,3.988993835449219
650,3.437531280517578,3.437531280517578,3.437531280517578,3.544919967651367,3.544919967651367,3.544919967651367,3.4313236236572267,3.4313236236572267,3.4313236236572267,3.755997085571289,3.755997085571289,3.755997085571289,3.3867679595947267,3.3867679595947267,3.3867679595947267,4.2655586242675785,4.2655586242675785,4.2655586242675785,3.7214805603027346,3.7214805603027346,3.7214805603027346,3.9408397674560542,3.9408397674560542,3.9408397674560542
700,3.4149890899658204,3.4149890899658204,3.4149890899658204,3.5103858947753905,3.5103858947753905,3.5103858947753905,3.4064895629882814,3.4064895629882814,3.4064895629882814,3.719271087646484,3.719271087646484,3.719271087646484,3.3474910736083983,3.3474910736083983,3.3474910736083983,4.212035751342773,4.212035751342773,4.212035751342773,3.685609055,3.685609055,3.685609055,3.901835250854492,3.901835250854492,3.901835250854492
750,3.396107482910156,3.396107482910156,3.396107482910156,3.486780548095703,3.486780548095703,3.486780548095703,3.3880355834960936,3.3880355834960936,3.3880355834960936,3.7007572174072263,3.7007572174072263,3.7007572174072263,3.317919158935547,3.317919158935547,3.317919158935547,4.139054870605468,4.139054870605468,4.139054870605468,3.6545658111572266,3.6545658111572266,3.6545658111572266,3.867745208740234,3.867745208740234,3.867745208740234
800,3.377573013305664,3.377573013305664,3.377573013305664,3.466326904296875,3.466326904296875,3.466326904296875,3.355192184448242,3.355192184448242,3.355192184448242,3.657193756103516,3.657193756103516,3.657193756103516,3.2970733642578125,3.2970733642578125,3.2970733642578125,4.095681381225586,4.095681381225586,4.095681381225586,3.6253383636474608,3.6253383636474608,3.6253383636474608,3.8345046997070313,3.8345046997070313,3.8345046997070313
850,3.345478057861328,3.345478057861328,3.345478057861328,3.4445926666259767,3.4445926666259767,3.4445926666259767,3.327462005615234,3.327462005615234,3.327462005615234,3.621496200561523,3.621496200561523,3.621496200561523,3.2861392974853514,3.2861392974853514,3.2861392974853514,4.041705322265625,4.041705322265625,4.041705322265625,3.6003528594970704,3.6003528594970704,3.6003528594970704,3.803991699,3.803991699,3.803991699
900,3.315791702270508,3.315791702270508,3.315791702270508,3.429638672,3.429638672,3.429638672,3.3075767517089845,3.3075767517089845,3.3075767517089845,3.5976882934570313,3.5976882934570313,3.5976882934570313,,,,4.001549148559571,4.001549148559571,4.001549148559571,3.5761417388916015,3.5761417388916015,3.5761417388916015,3.777531433105469,3.777531433105469,3.777531433105469
950,3.2953105926513673,3.2953105926513673,3.2953105926513673,3.412037658691406,3.412037658691406,3.412037658691406,3.297257995605469,3.297257995605469,3.297257995605469,3.5830493927001954,3.5830493927001954,3.5830493927001954,,,,3.970153427124023,3.970153427124023,3.970153427124023,3.5550098419189453,3.5550098419189453,3.5550098419189453,3.752313232421875,3.752313232421875,3.752313232421875
1000,3.285142517089844,3.285142517089844,3.285142517089844,3.396838379,3.396838379,3.396838379,,,,3.5465606689453124,3.5465606689453124,3.5465606689453124,,,,3.927875518798828,3.927875518798828,3.927875518798828,3.534793472290039,3.534793472290039,3.534793472290039,3.730135345458984,3.730135345458984,3.730135345458984
1050,,,,3.3691738128662108,3.3691738128662108,3.3691738128662108,,,,3.5330265045166014,3.5330265045166014,3.5330265045166014,,,,3.9040500640869142,3.9040500640869142,3.9040500640869142,3.5186321258544924,3.5186321258544924,3.5186321258544924,3.708232879638672,3.708232879638672,3.708232879638672
1100,,,,3.344298553466797,3.344298553466797,3.344298553466797,,,,3.5200599670410155,3.5200599670410155,3.5200599670410155,,,,3.8751552581787103,3.8751552581787103,3.8751552581787103,3.5004837036132814,3.5004837036132814,3.5004837036132814,3.688135910034179,3.688135910034179,3.688135910034179
1150,,,,3.3272274017333983,3.3272274017333983,3.3272274017333983,,,,3.495762252807617,3.495762252807617,3.495762252807617,,,,3.8493858337402345,3.8493858337402345,3.8493858337402345,3.487141799926758,3.487141799926758,3.487141799926758,3.669976043701172,3.669976043701172,3.669976043701172
1200,,,,3.3173999786376953,3.3173999786376953,3.3173999786376953,,,,3.4836429595947265,3.4836429595947265,3.4836429595947265,,,,3.827423858642578,3.827423858642578,3.827423858642578,3.4701648712158204,3.4701648712158204,3.4701648712158204,3.6547515869140623,3.6547515869140623,3.6547515869140623
1250,,,,,,,,,,3.471190643310547,3.471190643310547,3.471190643310547,,,,3.808292770385742,3.808292770385742,3.808292770385742,3.455107498168945,3.455107498168945,3.455107498168945,3.633736419677734,3.633736419677734,3.633736419677734
1300,,,,,,,,,,3.460903549194336,3.460903549194336,3.460903549194336,,,,3.787408447265625,3.787408447265625,3.787408447265625,3.4420635223388674,3.4420635223388674,3.4420635223388674,3.617620849609375,3.617620849609375,3.617620849609375
1350,,,,,,,,,,3.4484737396240233,3.4484737396240233,3.4484737396240233,,,,3.7657150268554687,3.7657150268554687,3.7657150268554687,3.4297767639160157,3.4297767639160157,3.4297767639160157,3.604451751708985,3.604451751708985,3.604451751708985
1400,,,,,,,,,,3.431641769,3.431641769,3.431641769,,,,3.740657424926758,3.740657424926758,3.740657424926758,3.4184585571289063,3.4184585571289063,3.4184585571289063,3.5906185150146483,3.5906185150146483,3.5906185150146483
1450,,,,,,,,,,3.4271942138671876,3.4271942138671876,3.4271942138671876,,,,3.7222927093505858,3.7222927093505858,3.7222927093505858,3.409841537475586,3.409841537475586,3.409841537475586,3.5759910583496093,3.5759910583496093,3.5759910583496093
1500,,,,,,,,,,3.4086837768554688,3.4086837768554688,3.4086837768554688,,,,3.717190551757812,3.717190551757812,3.717190551757812,3.400284576416015,3.400284576416015,3.400284576416015,3.563437652587891,3.563437652587891,3.563437652587891
1550,,,,,,,,,,3.409941482543945,3.409941482543945,3.409941482543945,,,,3.702332305908203,3.702332305908203,3.702332305908203,3.376763916015625,3.376763916015625,3.376763916015625,3.552806091308594,3.552806091308594,3.552806091308594
1600,,,,,,,,,,3.4026641845703125,3.4026641845703125,3.4026641845703125,,,,3.681435775756836,3.681435775756836,3.681435775756836,3.356801986694336,3.356801986694336,3.356801986694336,3.542101287841797,3.542101287841797,3.542101287841797
1650,,,,,,,,,,3.3931488037109374,3.3931488037109374,3.3931488037109374,,,,3.6700119018554687,3.6700119018554687,3.6700119018554687,3.341220474243164,3.341220474243164,3.341220474243164,3.5313671112060545,3.5313671112060545,3.5313671112060545
