"step","(dion+adam)_bs=1024_lr=0.01_sp=1.0_adam - _step","(dion+adam)_bs=1024_lr=0.01_sp=1.0_adam - _step__MIN","(dion+adam)_bs=1024_lr=0.01_sp=1.0_adam - _step__MAX","(dion+adam)_bs=1024_lr=0.01_sp=1.0_adam - val/loss","(dion+adam)_bs=1024_lr=0.01_sp=1.0_adam - val/loss__MIN","(dion+adam)_bs=1024_lr=0.01_sp=1.0_adam - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv - _step","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_none - _step","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_none - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_none - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_none - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_none - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_none - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv_sqrt - _step","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv_sqrt - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv_sqrt - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv_sqrt - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv_sqrt - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_scale_inv_sqrt - val/loss__MAX"
"0","0","0","0","11.25081787109375","11.25081787109375","11.25081787109375","0","0","0","11.302503204345705","11.302503204345705","11.302503204345705","0","0","0","11.242953491210937","11.242953491210937","11.242953491210937","0","0","0","11.37987060546875","11.37987060546875","11.37987060546875"
"125","126","126","126","5.257843780517578","5.257843780517578","5.257843780517578","126","126","126","6.699847412109375","6.699847412109375","6.699847412109375","126","126","126","8.834992980957031","8.834992980957031","8.834992980957031","126","126","126","5.2418212890625","5.2418212890625","5.2418212890625"
"250","252","252","252","4.464424896240234","4.464424896240234","4.464424896240234","252","252","252","5.636345291137696","5.636345291137696","5.636345291137696","252","252","252","5.441496658325195","5.441496658325195","5.441496658325195","252","252","252","4.387746429443359","4.387746429443359","4.387746429443359"
"375","378","378","378","4.099488830566406","4.099488830566406","4.099488830566406","378","378","378","5.029290008544922","5.029290008544922","5.029290008544922","378","378","378","4.842065048217774","4.842065048217774","4.842065048217774","378","378","378","4.027060699462891","4.027060699462891","4.027060699462891"
"500","504","504","504","3.9345069885253903","3.9345069885253903","3.9345069885253903","504","504","504","4.690489196777344","4.690489196777344","4.690489196777344","504","504","504","4.46355972290039","4.46355972290039","4.46355972290039","504","504","504","3.8654640197753904","3.8654640197753904","3.8654640197753904"
"625","630","630","630","3.8374134063720704","3.8374134063720704","3.8374134063720704","630","630","630","4.471035385131836","4.471035385131836","4.471035385131836","630","630","630","4.215650177001953","4.215650177001953","4.215650177001953","630","630","630","3.767440032958985","3.767440032958985","3.767440032958985"
"750","756","756","756","3.7699424743652346","3.7699424743652346","3.7699424743652346","756","756","756","4.309691619873047","4.309691619873047","4.309691619873047","756","756","756","4.071488952636718","4.071488952636718","4.071488952636718","756","756","756","3.700887680053711","3.700887680053711","3.700887680053711"
"875","882","882","882","3.7180240631103514","3.7180240631103514","3.7180240631103514","882","882","882","4.188093566894532","4.188093566894532","4.188093566894532","882","882","882","3.9843914031982424","3.9843914031982424","3.9843914031982424","882","882","882","3.6492115020751954","3.6492115020751954","3.6492115020751954"
"1000","1008","1008","1008","3.676820373535156","3.676820373535156","3.676820373535156","1008","1008","1008","4.0924530029296875","4.0924530029296875","4.0924530029296875","1008","1008","1008","3.923453521728516","3.923453521728516","3.923453521728516","1008","1008","1008","3.6119308471679688","3.6119308471679688","3.6119308471679688"
"1125","1134","1134","1134","3.644194030761718","3.644194030761718","3.644194030761718","1134","1134","1134","4.014587783813477","4.014587783813477","4.014587783813477","1134","1134","1134","3.8696258544921873","3.8696258544921873","3.8696258544921873","1134","1134","1134","3.5754623413085938","3.5754623413085938","3.5754623413085938"
