"step","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step__MIN","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - _step__MAX","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss__MIN","(muon_moonlight+adam)_bs=2048_lr=0.01_sp=1.0 - val/loss__MAX","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step__MIN","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - _step__MAX","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss__MIN","(adam+adam)_bs=2048_lr=0.0016_sp=1.0 - val/loss__MAX","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step__MIN","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - _step__MAX","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss__MIN","(dion+lion)_bs=2048_lr=0.01_sp=1.0 - val/loss__MAX","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step__MIN","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - _step__MAX","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss__MIN","(muon_moonlight+adam)_bs=1024_lr=0.01_sp=1.0 - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0 - val/loss__MAX","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step__MIN","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - _step__MAX","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss__MIN","(adam+adam)_bs=1024_lr=0.002_sp=1.0 - val/loss__MAX"
"0","0","0","0","11.485497283935548","11.485497283935548","11.485497283935548","0","0","0","11.348970794677737","11.348970794677737","11.348970794677737","0","0","0","11.319053649902344","11.319053649902344","11.319053649902344","0","0","0","11.234175872802734","11.234175872802734","11.234175872802734","0","0","0","11.318865966796874","11.318865966796874","11.318865966796874","0","0","0","11.307879638671874","11.307879638671874","11.307879638671874"
"125","126","126","126","5.281868743896484","5.281868743896484","5.281868743896484","126","126","126","6.527659606933594","6.527659606933594","6.527659606933594","126","126","126","5.157380676269531","5.157380676269531","5.157380676269531","126","126","126","5.188234329223633","5.188234329223633","5.188234329223633","126","126","126","5.062001800537109","5.062001800537109","5.062001800537109","126","126","126","6.303190231323242","6.303190231323242","6.303190231323242"
"250","252","252","252","4.533816528320313","4.533816528320313","4.533816528320313","252","252","252","5.848428726196289","5.848428726196289","5.848428726196289","252","252","252","4.3507850646972654","4.3507850646972654","4.3507850646972654","252","252","252","4.485082626342773","4.485082626342773","4.485082626342773","252","252","252","4.308847045898437","4.308847045898437","4.308847045898437","252","252","252","5.697217178344727","5.697217178344727","5.697217178344727"
"375","378","378","378","4.089154052734375","4.089154052734375","4.089154052734375","378","378","378","5.355448150634766","5.355448150634766","5.355448150634766","378","378","378","3.917541122436523","3.917541122436523","3.917541122436523","378","378","378","4.12701416015625","4.12701416015625","4.12701416015625","378","378","378","4.004123687744141","4.004123687744141","4.004123687744141","378","378","378","5.07707633972168","5.07707633972168","5.07707633972168"
"500","504","504","504","3.84204216003418","3.84204216003418","3.84204216003418","504","504","504","4.779084014892578","4.779084014892578","4.779084014892578","504","504","504","3.713532638549805","3.713532638549805","3.713532638549805","504","504","504","3.9629890441894537","3.9629890441894537","3.9629890441894537","504","504","504","3.859406280517578","3.859406280517578","3.859406280517578","504","504","504","4.638892745971679","4.638892745971679","4.638892745971679"
"625","630","630","630","3.69924201965332","3.69924201965332","3.69924201965332","630","630","630","4.417781829833984","4.417781829833984","4.417781829833984","630","630","630","3.5981884002685547","3.5981884002685547","3.5981884002685547","630","630","630","3.861533355712891","3.861533355712891","3.861533355712891","630","630","630","3.767026901245117","3.767026901245117","3.767026901245117","630","630","630","4.304159164428711","4.304159164428711","4.304159164428711"
"750","756","756","756","3.606707382202148","3.606707382202148","3.606707382202148","756","756","756","4.156314468383789","4.156314468383789","4.156314468383789","756","756","756","3.514542388916015","3.514542388916015","3.514542388916015","756","756","756","3.794582748413086","3.794582748413086","3.794582748413086","756","756","756","3.7033836364746096","3.7033836364746096","3.7033836364746096","756","756","756","4.130505752563477","4.130505752563477","4.130505752563477"
"875","882","882","882","3.537354278564453","3.537354278564453","3.537354278564453","882","882","882","3.9532424926757814","3.9532424926757814","3.9532424926757814","882","882","882","3.4554134368896485","3.4554134368896485","3.4554134368896485","882","882","882","3.7417259216308594","3.7417259216308594","3.7417259216308594","882","882","882","3.6553581237792967","3.6553581237792967","3.6553581237792967","882","882","882","4.001095581054687","4.001095581054687","4.001095581054687"
"1000","1008","1008","1008","3.4897552490234376","3.4897552490234376","3.4897552490234376","1008","1008","1008","3.8356910705566407","3.8356910705566407","3.8356910705566407","1008","1008","1008","3.413988494873047","3.413988494873047","3.413988494873047","1008","1008","1008","3.7010498046875","3.7010498046875","3.7010498046875","1008","1008","1008","3.6143123626708986","3.6143123626708986","3.6143123626708986","1008","1008","1008","3.9110137939453127","3.9110137939453127","3.9110137939453127"
"1125","1134","1134","1134","3.447159194946289","3.447159194946289","3.447159194946289","1134","1134","1134","3.7237720489501953","3.7237720489501953","3.7237720489501953","1134","1134","1134","3.3741832733154298","3.3741832733154298","3.3741832733154298","1134","1134","1134","3.6683597564697266","3.6683597564697266","3.6683597564697266","1134","1134","1134","3.586518096923828","3.586518096923828","3.586518096923828","1134","1134","1134","3.838676834106445","3.838676834106445","3.838676834106445"
