"step","(dion+lion)_bs=1024_lr=0.01_sp=0.25_retry - _step","(dion+lion)_bs=1024_lr=0.01_sp=0.25_retry - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=0.25_retry - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=0.25_retry - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=0.25_retry - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=0.25_retry - val/loss__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_no_delay_lion - _step","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_no_delay_lion - _step__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_no_delay_lion - _step__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_no_delay_lion - val/loss","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_no_delay_lion - val/loss__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_no_delay_lion - val/loss__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss__MAX","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MIN","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MAX","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MIN","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MAX","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MIN","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MAX","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MIN","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss__MAX"
"0","0","0","0","11.292417907714844","11.292417907714844","11.292417907714844","0","0","0","11.315795135498046","11.315795135498046","11.315795135498046","0","0","0","11.316525268554688","11.316525268554688","11.316525268554688","0","0","0","11.342552947998048","11.342552947998048","11.342552947998048","0","0","0","11.298162841796875","11.298162841796875","11.298162841796875","0","0","0","11.30447235107422","11.30447235107422","11.30447235107422"
"125","126","126","126","5.456413650512696","5.456413650512696","5.456413650512696","126","126","126","5.815335083007812","5.815335083007812","5.815335083007812","126","126","126","6.159712219238282","6.159712219238282","6.159712219238282","126","126","126","6.6168975830078125","6.6168975830078125","6.6168975830078125","126","126","126","7.327285766601563","7.327285766601563","7.327285766601563","126","126","126","6.010551452636719","6.010551452636719","6.010551452636719"
"250","252","252","252","4.636799240112305","4.636799240112305","4.636799240112305","252","252","252","5.081082916259765","5.081082916259765","5.081082916259765","252","252","252","5.490438461303711","5.490438461303711","5.490438461303711","252","252","252","5.971049118041992","5.971049118041992","5.971049118041992","252","252","252","6.996700286865234","6.996700286865234","6.996700286865234","252","252","252","5.3474468231201175","5.3474468231201175","5.3474468231201175"
"375","378","378","378","4.201123046875","4.201123046875","4.201123046875","378","378","378","4.737556457519531","4.737556457519531","4.737556457519531","378","378","378","5.127291870117188","5.127291870117188","5.127291870117188","378","378","378","5.516876602172852","5.516876602172852","5.516876602172852","378","378","378","6.730352783203125","6.730352783203125","6.730352783203125","378","378","378","5.004530334472657","5.004530334472657","5.004530334472657"
"500","504","504","504","4.008399200439453","4.008399200439453","4.008399200439453","504","504","504","4.472886276245117","4.472886276245117","4.472886276245117","504","504","504","4.896165466308593","4.896165466308593","4.896165466308593","504","504","504","5.173454666137696","5.173454666137696","5.173454666137696","504","504","504","6.525663757324219","6.525663757324219","6.525663757324219","504","504","504","4.808408737182617","4.808408737182617","4.808408737182617"
"625","630","630","630","3.890442276000977","3.890442276000977","3.890442276000977","630","630","630","4.296021270751953","4.296021270751953","4.296021270751953","630","630","630","4.700754547119141","4.700754547119141","4.700754547119141","630","630","630","4.933226776123047","4.933226776123047","4.933226776123047","630","630","630","6.346276092529297","6.346276092529297","6.346276092529297","630","630","630","4.688153457641602","4.688153457641602","4.688153457641602"
"750","756","756","756","3.8092098236083984","3.8092098236083984","3.8092098236083984","756","756","756","4.179875183105469","4.179875183105469","4.179875183105469","756","756","756","4.513022613525391","4.513022613525391","4.513022613525391","756","756","756","4.704386901855469","4.704386901855469","4.704386901855469","756","756","756","6.166282272338867","6.166282272338867","6.166282272338867","756","756","756","4.585477447509765","4.585477447509765","4.585477447509765"
"875","882","882","882","3.7469348907470703","3.7469348907470703","3.7469348907470703","882","882","882","4.0941108703613285","4.0941108703613285","4.0941108703613285","882","882","882","4.3824005126953125","4.3824005126953125","4.3824005126953125","882","882","882","4.529640960693359","4.529640960693359","4.529640960693359","882","882","882","6.044094848632812","6.044094848632812","6.044094848632812","882","882","882","4.508273696899414","4.508273696899414","4.508273696899414"
"1000","1008","1008","1008","3.69827880859375","3.69827880859375","3.69827880859375","1008","1008","1008","4.025969696044922","4.025969696044922","4.025969696044922","1008","1008","1008","4.291239166259766","4.291239166259766","4.291239166259766","1008","1008","1008","4.390915298461914","4.390915298461914","4.390915298461914","1008","1008","1008","5.880456161499024","5.880456161499024","5.880456161499024","1008","1008","1008","4.439619445800782","4.439619445800782","4.439619445800782"
"1125","1134","1134","1134","3.659514617919922","3.659514617919922","3.659514617919922","1134","1134","1134","3.9728668212890623","3.9728668212890623","3.9728668212890623","1134","1134","1134","4.221895217895508","4.221895217895508","4.221895217895508","1134","1134","1134","4.298570251464843","4.298570251464843","4.298570251464843","1134","1134","1134","5.763476181030273","5.763476181030273","5.763476181030273","1134","1134","1134","4.382648468017578","4.382648468017578","4.382648468017578"
"1250","1260","1260","1260","3.6292789459228514","3.6292789459228514","3.6292789459228514","1260","1260","1260","3.9288516998291017","3.9288516998291017","3.9288516998291017","1260","1260","1260","4.161947250366211","4.161947250366211","4.161947250366211","1260","1260","1260","4.223672103881836","4.223672103881836","4.223672103881836","1260","1260","1260","5.631560134887695","5.631560134887695","5.631560134887695","1260","1260","1260","4.329211807250976","4.329211807250976","4.329211807250976"
"1375","1386","1386","1386","3.6018333435058594","3.6018333435058594","3.6018333435058594","1386","1386","1386","3.891538619995117","3.891538619995117","3.891538619995117","1386","1386","1386","4.113120651245117","4.113120651245117","4.113120651245117","1386","1386","1386","4.139707565307617","4.139707565307617","4.139707565307617","1386","1386","1386","5.534576034545898","5.534576034545898","5.534576034545898","1386","1386","1386","4.280409240722657","4.280409240722657","4.280409240722657"
"1500","1512","1512","1512","3.579310989379883","3.579310989379883","3.579310989379883","1512","1512","1512","3.857471466064453","3.857471466064453","3.857471466064453","1512","1512","1512","4.06904411315918","4.06904411315918","4.06904411315918","1512","1512","1512","4.096112823486328","4.096112823486328","4.096112823486328","1512","1512","1512","5.4242198944091795","5.4242198944091795","5.4242198944091795","1512","1512","1512","4.239348220825195","4.239348220825195","4.239348220825195"
"1625","1638","1638","1638","3.555824279785156","3.555824279785156","3.555824279785156","1638","1638","1638","3.827088165283203","3.827088165283203","3.827088165283203","1638","1638","1638","4.031429290771484","4.031429290771484","4.031429290771484","1638","1638","1638","4.01812744140625","4.01812744140625","4.01812744140625","1638","1638","1638","5.319255065917969","5.319255065917969","5.319255065917969","1638","1638","1638","4.191526794433594","4.191526794433594","4.191526794433594"
"1750","1764","1764","1764","3.537654113769531","3.537654113769531","3.537654113769531","1764","1764","1764","3.803235626220703","3.803235626220703","3.803235626220703","1764","1764","1764","3.999604797363282","3.999604797363282","3.999604797363282","1764","1764","1764","3.977783203125","3.977783203125","3.977783203125","1764","1764","1764","5.229534912109375","5.229534912109375","5.229534912109375","1764","1764","1764","4.174027633666992","4.174027633666992","4.174027633666992"
"1875","1890","1890","1890","3.5221988677978517","3.5221988677978517","3.5221988677978517","1890","1890","1890","3.780587768554688","3.780587768554688","3.780587768554688","1890","1890","1890","3.972114181518555","3.972114181518555","3.972114181518555","1890","1890","1890","3.946351623535156","3.946351623535156","3.946351623535156","1890","1890","1890","5.120339202880859","5.120339202880859","5.120339202880859","1890","1890","1890","4.1252288818359375","4.1252288818359375","4.1252288818359375"
"2000","2016","2016","2016","3.5082160949707033","3.5082160949707033","3.5082160949707033","2016","2016","2016","3.7612205505371095","3.7612205505371095","3.7612205505371095","2016","2016","2016","3.942816925048828","3.942816925048828","3.942816925048828","2016","2016","2016","3.932181167602539","3.932181167602539","3.932181167602539","2016","2016","2016","5.057940673828125","5.057940673828125","5.057940673828125","2016","2016","2016","4.0994415283203125","4.0994415283203125","4.0994415283203125"
