"step","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MIN","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MAX","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MIN","(demo+demo)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MAX","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MIN","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - _step__MAX","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MIN","(demo_delay+demo_delay)_bs=1024_lr=0.001_sp=0.0078125_baseline - val/loss__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - _step__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=True_no_delay_lion - val/loss__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - _step","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - _step__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - _step__MAX","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - val/loss","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - val/loss__MIN","(dion2+lion)_bs=1024_lr=0.01_sp=0.0078125_sp2=0.25_mu1=0.999_mu2=0.95_delay=False_mu_mu_err_fb - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=0.0078125_baseline - val/loss__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - _step","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - _step__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - _step__MAX","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - val/loss","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - val/loss__MIN","(dion+lion)_bs=1024_lr=0.01_sp=1.0_baseline - val/loss__MAX"
"0","0","0","0","11.342552947998048","11.342552947998048","11.342552947998048","0","0","0","11.298162841796875","11.298162841796875","11.298162841796875","0","0","0","11.244978332519532","11.244978332519532","11.244978332519532","0","0","0","11.328309631347656","11.328309631347656","11.328309631347656","0","0","0","11.30447235107422","11.30447235107422","11.30447235107422","0","0","0","11.36385726928711","11.36385726928711","11.36385726928711"
"125","126","126","126","6.6168975830078125","6.6168975830078125","6.6168975830078125","126","126","126","7.327285766601563","7.327285766601563","7.327285766601563","126","126","126","6.161401748657227","6.161401748657227","6.161401748657227","126","126","126","5.8253639221191404","5.8253639221191404","5.8253639221191404","126","126","126","6.010551452636719","6.010551452636719","6.010551452636719","126","126","126","5.233736801147461","5.233736801147461","5.233736801147461"
"250","252","252","252","5.971049118041992","5.971049118041992","5.971049118041992","252","252","252","6.996700286865234","6.996700286865234","6.996700286865234","252","252","252","5.499829864501953","5.499829864501953","5.499829864501953","252","252","252","5.090658569335938","5.090658569335938","5.090658569335938","252","252","252","5.3474468231201175","5.3474468231201175","5.3474468231201175","252","252","252","4.364973831176758","4.364973831176758","4.364973831176758"
"375","378","378","378","5.516876602172852","5.516876602172852","5.516876602172852","378","378","378","6.730352783203125","6.730352783203125","6.730352783203125","378","378","378","5.112953567504883","5.112953567504883","5.112953567504883","378","378","378","4.748680496215821","4.748680496215821","4.748680496215821","378","378","378","5.004530334472657","5.004530334472657","5.004530334472657","378","378","378","4.019980621337891","4.019980621337891","4.019980621337891"
"500","504","504","504","5.173454666137696","5.173454666137696","5.173454666137696","504","504","504","6.525663757324219","6.525663757324219","6.525663757324219","504","504","504","4.886954498291016","4.886954498291016","4.886954498291016","504","504","504","4.486840057373047","4.486840057373047","4.486840057373047","504","504","504","4.808408737182617","4.808408737182617","4.808408737182617","504","504","504","3.8629058837890624","3.8629058837890624","3.8629058837890624"
"625","630","630","630","4.933226776123047","4.933226776123047","4.933226776123047","630","630","630","6.346276092529297","6.346276092529297","6.346276092529297","630","630","630","4.69348030090332","4.69348030090332","4.69348030090332","630","630","630","4.306440734863282","4.306440734863282","4.306440734863282","630","630","630","4.688153457641602","4.688153457641602","4.688153457641602","630","630","630","3.768829727172851","3.768829727172851","3.768829727172851"
"750","756","756","756","4.704386901855469","4.704386901855469","4.704386901855469","756","756","756","6.166282272338867","6.166282272338867","6.166282272338867","756","756","756","4.506329345703125","4.506329345703125","4.506329345703125","756","756","756","4.187815856933594","4.187815856933594","4.187815856933594","756","756","756","4.585477447509765","4.585477447509765","4.585477447509765","756","756","756","3.701445388793945","3.701445388793945","3.701445388793945"
"875","882","882","882","4.529640960693359","4.529640960693359","4.529640960693359","882","882","882","6.044094848632812","6.044094848632812","6.044094848632812","882","882","882","4.386186981201172","4.386186981201172","4.386186981201172","882","882","882","4.099938201904297","4.099938201904297","4.099938201904297","882","882","882","4.508273696899414","4.508273696899414","4.508273696899414","882","882","882","3.650339126586914","3.650339126586914","3.650339126586914"
"1000","1008","1008","1008","4.390915298461914","4.390915298461914","4.390915298461914","1008","1008","1008","5.880456161499024","5.880456161499024","5.880456161499024","1008","1008","1008","4.289010620117187","4.289010620117187","4.289010620117187","1008","1008","1008","4.030766296386719","4.030766296386719","4.030766296386719","1008","1008","1008","4.439619445800782","4.439619445800782","4.439619445800782","1008","1008","1008","3.6093521118164062","3.6093521118164062","3.6093521118164062"
"1125","1134","1134","1134","4.298570251464843","4.298570251464843","4.298570251464843","1134","1134","1134","5.763476181030273","5.763476181030273","5.763476181030273","1134","1134","1134","4.2186634063720705","4.2186634063720705","4.2186634063720705","1134","1134","1134","3.976852798461914","3.976852798461914","3.976852798461914","1134","1134","1134","4.382648468017578","4.382648468017578","4.382648468017578","1134","1134","1134","3.5763755798339845","3.5763755798339845","3.5763755798339845"
