Training DataLoader: total tokens: 10255324043 in 103 files
Validation DataLoader: total tokens: 100000000 in 1 files
Muon optimizer is being initialized...
Muon optimizer initialized with backend: newtonschulz5
Iterating over parameter groups during initialization:
 - Found parameter group with backend: newtonschulz5
Training:   0%|          | 0/3000 [00:00<?, ?it/s][rank0]:W0310 17:54:07.958000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
[rank0]:W0310 17:54:15.764000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
[rank0]:W0310 17:54:18.180000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
[rank0]:W0310 17:54:19.023000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
[rank0]:W0310 17:54:20.054000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
[rank0]:W0310 17:54:20.932000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
[rank0]:W0310 17:54:21.788000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
[rank0]:W0310 17:54:22.665000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
[rank0]:W0310 17:54:23.894000 1425 site-packages/torch/_inductor/utils.py:1614] [0/0] DeviceCopy in input program
step:0/3000 val_loss:10.8258 train_time:3ms step_avg:nanms
Training: 100%|██████████| 3000/3000 [09:46<00:00,  5.11it/s, val_loss=3.2815]    
step:125/3000 val_loss:4.4692 train_time:16959ms step_avg:147.47ms
step:250/3000 val_loss:4.0683 train_time:35555ms step_avg:148.15ms
step:375/3000 val_loss:3.9080 train_time:53943ms step_avg:147.79ms
step:500/3000 val_loss:3.8182 train_time:72567ms step_avg:148.10ms
step:625/3000 val_loss:3.7429 train_time:91173ms step_avg:148.25ms
step:750/3000 val_loss:3.6861 train_time:109559ms step_avg:148.05ms
step:875/3000 val_loss:3.6405 train_time:128162ms step_avg:148.16ms
step:1000/3000 val_loss:3.6003 train_time:146770ms step_avg:148.25ms
step:1125/3000 val_loss:3.5741 train_time:165155ms step_avg:148.12ms
step:1250/3000 val_loss:3.5452 train_time:183754ms step_avg:148.19ms
step:1375/3000 val_loss:3.5267 train_time:202368ms step_avg:148.26ms
step:1500/3000 val_loss:3.5094 train_time:220743ms step_avg:148.15ms
step:1625/3000 val_loss:3.4895 train_time:239348ms step_avg:148.20ms
step:1750/3000 val_loss:3.4701 train_time:257988ms step_avg:148.27ms
step:1875/3000 val_loss:3.4554 train_time:276373ms step_avg:148.19ms
step:2000/3000 val_loss:3.4422 train_time:294976ms step_avg:148.23ms
step:2125/3000 val_loss:3.4311 train_time:313597ms step_avg:148.27ms
step:2250/3000 val_loss:3.4046 train_time:331985ms step_avg:148.21ms
step:2375/3000 val_loss:3.3798 train_time:350625ms step_avg:148.26ms
step:2500/3000 val_loss:3.3545 train_time:369246ms step_avg:148.29ms
step:2625/3000 val_loss:3.3307 train_time:387627ms step_avg:148.23ms
step:2750/3000 val_loss:3.3099 train_time:406241ms step_avg:148.26ms
step:2875/3000 val_loss:3.2922 train_time:424863ms step_avg:148.29ms
step:3000/3000 val_loss:3.2815 train_time:443267ms step_avg:148.25ms
Peak memory consumption: 32799 MiB
